Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
21,Female,158,48,Lightly Active,Weight Loss,Omnivore,1500,60,170,45,Oatmeal with berries and nuts,Chicken salad sandwich on whole wheat bread,Grilled chicken with roasted vegetables,Greek yogurt with fruit
55,Male,178,88,Sedentary,Maintenance,Vegetarian,1900,70,200,55,Tofu scramble with whole wheat toast and fruit,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,180,50,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter
32,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,220,60,Tofu scramble with whole-wheat toast,Lentil and vegetable curry with brown rice,Vegetable stir-fry with brown rice,Trail mix 
55,Female,160,75,Lightly Active,Weight Loss,Vegan,1600,70,150,40,Tofu and vegetable breakfast burrito,Lentil and vegetable stew with brown rice,Chickpea pasta with tomato sauce and vegetables,Fruit and nut mix
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,270,80,Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Salmon with quinoa and steamed vegetables,Protein shake
62,Male,175,85,Sedentary,Maintenance,Omnivore,2200,100,200,70,Eggs with whole-wheat toast,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Banana with almond butter
28,Female,170,55,Moderately Active,Muscle Gain,Vegetarian,2400,110,240,70,Tofu scramble with whole-wheat toast,Bean burrito with brown rice,Vegetable stir-fry with tofu and brown rice,Fruit and nut mix
35,Male,185,110,Very Active,Weight Loss,Omnivore,2500,150,200,60,Oatmeal with protein powder and berries,Turkey sandwich on whole-wheat bread,Chicken breast with roasted vegetables and quinoa,Greek yogurt with fruit and nuts
22,Female,160,50,Lightly Active,Muscle Gain,Vegan,2200,100,220,60,Tofu and vegetable breakfast burrito,Lentil and vegetable stew with brown rice,Chickpea pasta with tomato sauce and vegetables,Fruit and nut mix
48,Male,180,90,Moderately Active,Weight Loss,Omnivore,2100,130,170,50,Greek yogurt with fruit and granola,Turkey sandwich on whole-wheat bread,Salmon with roasted vegetables and brown rice,Trail mix 
58,Female,155,60,Sedentary,Maintenance,Vegan,1500,60,130,40,Tofu and vegetable scramble with whole-wheat toast,Lentil and vegetable soup with whole-wheat bread,Chickpea pasta with tomato sauce and vegetables,Fruit and nuts
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,200,60,Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and vegetables,Salmon with roasted vegetables and quinoa,Apple slices with peanut butter
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1800,80,180,50,Tofu scramble with spinach and avocado,Lentil soup with wholegrain bread,Chickpea pasta with vegetable sauce,Trail mix with nuts and seeds
55,Male,175,95,Sedentary,Maintenance,Omnivore,2400,100,250,70,Oatmeal with fruit and nuts,Chicken stir-fry with brown rice,Roast beef with mashed potatoes and peas,Popcorn with a touch of olive oil
28,Female,170,72,Very Active,Muscle Gain,Vegan,2600,130,280,70,Tofu and vegetable scramble with wholegrain toast,Lentil stew with brown rice,Black bean burgers on wholegrain buns,Smoothie with protein powder and fruit
62,Female,160,60,Sedentary,Weight Loss,Vegan,1600,60,150,40,Oatmeal with berries and flax seeds,Lentil soup with wholegrain bread,Tofu stir-fry with brown rice,Almond milk with banana and chia seeds
38,Male,190,105,Moderately Active,Muscle Gain,Omnivore,3000,160,300,90,Eggs with wholegrain toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Greek yogurt with fruit and nuts
22,Female,168,58,Lightly Active,Maintenance,Vegetarian,1900,70,200,60,Breakfast burrito with beans and vegetables,Chickpea salad sandwich on wholegrain bread,Tofu stir-fry with brown rice,Hummus with wholegrain crackers
40,Male,178,85,Very Active,Weight Loss,Vegan,2400,120,220,60,Tofu scramble with spinach and avocado,Lentil stew with brown rice,Black bean burgers on wholegrain buns,Popcorn with a touch of olive oil
27,Female,172,68,Moderately Active,Weight Loss,Omnivore,1900,90,180,50,Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and vegetables,Salmon with roasted vegetables and quinoa,Apple slices with peanut butter
58,Male,182,100,Lightly Active,Maintenance,Vegan,2200,80,200,60,Oatmeal with berries and flax seeds,Lentil soup with wholegrain bread,Tofu stir-fry with brown rice,Almond milk with banana and chia seeds
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter
32,Female,165,65,Sedentary,Maintenance,Vegetarian,1800,80,200,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix
58,Female,160,70,Lightly Active,Weight Loss,Vegan,1600,70,180,40,Oatmeal with fruit and nuts,Black bean burger on whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,350,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake
62,Male,175,85,Lightly Active,Weight Loss,Vegetarian,1800,80,200,50,Greek yogurt with fruit and granola,Black bean burger on whole-wheat bun,Vegetarian chili with brown rice,Apple with peanut butter
38,Female,170,75,Moderately Active,Maintenance,Vegan,2000,80,220,60,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix
28,Male,185,90,Very Active,Muscle Gain,Omnivore,3200,200,400,90,Oatmeal with protein powder and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake
55,Female,155,60,Sedentary,Weight Loss,Vegan,1400,60,160,30,Oatmeal with fruit and nuts,Black bean burger on whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
70,Male,170,75,Lightly Active,Maintenance,Omnivore,1800,80,200,50,Scrambled eggs with whole-wheat toast and avocado,Tuna salad sandwich on whole-wheat bread,Chicken breast with vegetables,Yogurt with fruit
22,Female,168,55,Moderately Active,Weight Loss,Vegetarian,1600,70,180,40,Greek yogurt with fruit and granola,Black bean burger on whole-wheat bun,Vegetarian chili with brown rice,Apple with peanut butter
25,Female,165,55,Moderately Active,Weight Loss,Omnivore,1800,75,200,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2800,150,300,80,Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and quinoa,Steak with sweet potato fries,Protein shake
58,Female,160,68,Sedentary,Weight Loss,Vegetarian,1500,60,170,40,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil soup with whole-grain bread,Fruit salad with nuts
40,Male,190,95,Very Active,Muscle Gain,Omnivore,3500,200,400,100,Protein pancakes with fruit,Chicken stir-fry with brown rice,Chicken breast with sweet potato and broccoli,Protein bar
62,Female,155,50,Sedentary,Weight Loss,Vegan,1400,50,150,30,Tofu scramble with vegetables,Vegetable stir-fry with rice noodles,Lentil soup with whole-grain bread,Fruit salad with nuts
28,Male,175,70,Moderately Active,Maintenance,Omnivore,2500,100,250,70,Greek yogurt with fruit and granola,Chicken and vegetable wrap,Salmon with roasted vegetables,Trail mix
65,Male,170,75,Lightly Active,Weight Loss,Omnivore,1700,70,180,50,Oatmeal with berries and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables,Yogurt parfait with granola
35,Female,168,60,Very Active,Muscle Gain,Vegan,2500,100,300,70,Tofu scramble with vegetables,Chickpea pasta with vegetable sauce,Lentil stew with whole-grain bread,Trail mix
48,Male,185,100,Moderately Active,Weight Loss,Omnivore,2200,90,220,60,Scrambled eggs with whole-wheat toast,Chicken breast with mixed greens salad,Salmon with roasted vegetables,Fruit and nut mix
22,Female,170,58,Lightly Active,Maintenance,Vegetarian,2000,80,200,60,Yogurt with fruit and granola,Bean burrito with brown rice,Lentil soup with whole-grain bread,Fruit and nut mix
25,Female,165,55,Moderately Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables and quinoa,Apple with peanut butter
38,Male,180,85,Lightly Active,Muscle Gain,Omnivore,2800,160,300,80,Oatmeal with protein powder and banana,Chicken stir-fry with brown rice,Beef and vegetable skewers with sweet potato fries,Protein bar
55,Female,160,65,Sedentary,Weight Loss,Vegetarian,1500,75,150,45,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Fruit with nuts
62,Male,175,90,Moderately Active,Maintenance,Vegan,2400,120,280,70,Tofu and vegetable scramble with avocado toast,Lentil and vegetable curry with brown rice,Vegan chili with whole grain bread,Mixed nuts and dried fruit
28,Female,170,60,Very Active,Muscle Gain,Vegan,2500,140,300,70,Tofu and vegetable breakfast burrito,Lentil and chickpea salad with whole grain pita,Vegan pasta with vegetables and cashew cream sauce,Trail mix
42,Male,185,95,Lightly Active,Muscle Gain,Omnivore,2600,150,280,80,Scrambled eggs with whole wheat toast and smoked salmon,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato fries,Greek yogurt with fruit and granola
58,Female,155,50,Sedentary,Weight Loss,Vegetarian,1400,70,140,40,Oatmeal with berries and nuts,Lentil and vegetable soup with whole grain bread,Quinoa salad with grilled vegetables,Fruit with cottage cheese
33,Male,190,100,Moderately Active,Maintenance,Vegan,2600,130,300,70,Tofu and vegetable stir-fry with brown rice,Lentil and vegetable curry with brown rice and naan bread,Vegan pizza with vegetables and cashew cheese,Fruit and nuts
21,Female,168,58,Very Active,Muscle Gain,Omnivore,2400,130,280,70,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables and brown rice,Protein bar
68,Male,170,75,Lightly Active,Weight Loss,Omnivore,1800,90,180,50,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Fish with roasted vegetables and quinoa,Fruit with cottage cheese
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter
38,Female,165,65,Lightly Active,Maintenance,Vegetarian,1800,80,200,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit
62,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,100,200,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole wheat bread,Chicken stir-fry with brown rice,Mixed nuts and dried fruit
45,Female,170,75,Very Active,Muscle Gain,Vegan,2500,140,300,80,Tofu scramble with vegetables and avocado toast,Chickpea pasta salad with roasted vegetables,Lentil and vegetable curry with brown rice,Banana with peanut butter
58,Male,185,105,Moderately Active,Weight Loss,Omnivore,2000,110,220,60,Eggs with whole wheat toast and avocado,Turkey breast sandwich with mixed greens,Chicken and vegetable stir-fry,Greek yogurt with berries
22,Female,160,50,Lightly Active,Weight Loss,Vegan,1600,70,180,40,Overnight oats with chia seeds and fruit,Black bean burger on whole wheat bun with salad,Lentil and vegetable stew with whole wheat bread,Apple slices with almond butter
70,Female,155,55,Sedentary,Weight Loss,Vegetarian,1400,70,160,40,Fruit and yogurt parfait,Mixed greens salad with chickpeas and tahini dressing,Tofu and vegetable stir-fry with brown rice,Almonds with dried fruit
30,Male,190,95,Very Active,Muscle Gain,Omnivore,3000,180,350,100,Pancakes with fruit and nuts,Chicken and rice bowl with vegetables,Steak with sweet potato and asparagus,Protein shake with fruit and greens
42,Female,168,60,Moderately Active,Maintenance,Vegan,1800,80,200,50,Tofu scramble with vegetables and avocado toast,Lentil and vegetable soup with whole wheat bread,Tempeh stir-fry with brown rice,Fruit salad with nuts and seeds
55,Male,178,85,Sedentary,Weight Loss,Omnivore,1800,100,200,50,Oatmeal with fruit and nuts,Tuna salad sandwich on whole wheat bread,Chicken breast with roasted vegetables,Dark chocolate with almonds
25,Female,165,58,Moderately Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Fruit and nuts
38,Male,180,85,Lightly Active,Maintenance,Vegetarian,2500,120,300,80,Tofu scramble with veggies,Lentil salad with quinoa and avocado,Black bean burger with sweet potato fries,Trail mix
55,Female,160,70,Sedentary,Weight Loss,Vegan,1500,80,150,50,Tofu and vegetable stir-fry,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts
62,Male,175,95,Moderately Active,Maintenance,Omnivore,2800,140,350,100,Oatmeal with fruit and nuts,Chicken stir-fry with brown rice,Chicken breast with roasted vegetables,Yogurt with granola
28,Female,170,65,Very Active,Muscle Gain,Vegetarian,2400,130,300,80,Tofu and vegetable scramble,Quinoa salad with chickpeas and avocado,Vegetarian chili with brown rice,Protein smoothie
32,Male,185,90,Lightly Active,Weight Loss,Omnivore,2200,110,250,70,Eggs with whole wheat toast,Chicken salad with whole grain bread,Chicken breast with baked potato,Apple with peanut butter
58,Female,155,62,Sedentary,Weight Loss,Vegan,1400,70,140,40,Tofu and vegetable stir-fry,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts
40,Male,190,110,Very Active,Muscle Gain,Omnivore,3200,160,400,120,Oatmeal with protein powder and fruit,Chicken breast with brown rice,Steak with sweet potato fries,Protein shake
21,Female,168,55,Lightly Active,Maintenance,Vegan,2000,90,220,60,Tofu and vegetable scramble,Lentil soup with whole grain bread,Vegetable curry with brown rice,Fruit and nuts
70,Male,170,75,Sedentary,Maintenance,Omnivore,2000,100,250,70,Greek yogurt with fruit and granola,Chicken salad with whole grain bread,Chicken breast with roasted vegetables,Trail mix
25,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,180,350,80,Greek yogurt with berries and granola,Chicken breast with brown rice and roasted vegetables,Salmon with quinoa and steamed broccoli,Protein shake
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1800,100,200,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Fruit and yogurt
58,Male,175,90,Sedentary,Weight Loss,Omnivore,2000,120,250,60,Scrambled eggs with whole-wheat toast,Chicken salad sandwich on whole-wheat bread,Baked chicken with sweet potato and green beans,Trail mix
62,Female,160,70,Moderately Active,Maintenance,Vegan,1900,90,220,60,Tofu scramble with vegetables and whole-wheat toast,Black bean burger on a whole-wheat bun with salad,Lentil stew with brown rice,Fruit and nuts
28,Male,190,100,Very Active,Muscle Gain,Omnivore,3200,200,400,100,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and roasted vegetables,Steak with quinoa and steamed broccoli,Protein bar
45,Female,170,75,Lightly Active,Weight Loss,Vegetarian,1600,80,180,40,Greek yogurt with fruit and granola,Quinoa salad with vegetables,Lentil soup with whole-wheat bread,Fruit and nuts
30,Male,185,95,Moderately Active,Muscle Gain,Vegan,2800,180,350,80,Tofu scramble with vegetables and whole-wheat toast,Chickpea pasta with vegetables and vegan cheese,Lentil stew with brown rice,Protein shake
65,Female,155,60,Sedentary,Maintenance,Omnivore,1700,80,200,50,Scrambled eggs with whole-wheat toast,Tuna salad sandwich on whole-wheat bread,Baked fish with steamed vegetables,Fruit and yogurt
22,Female,168,55,Very Active,Muscle Gain,Vegetarian,2400,140,300,70,Oatmeal with protein powder and fruit,Bean burrito with brown rice,Vegetarian chili,Protein bar
50,Male,170,85,Lightly Active,Weight Loss,Vegan,1900,100,220,60,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegan lasagna,Fruit and nuts
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,150,250,60,Oatmeal with berries and nuts,Grilled chicken salad with quinoa,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,60,Sedentary,Maintenance,Vegetarian,1800,100,220,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and seeds
55,Male,175,90,Lightly Active,Weight Loss,Omnivore,1800,130,200,60,Scrambled eggs with whole-wheat toast,Chicken and vegetable stir-fry with brown rice,Turkey chili with cornbread,Apple slices with peanut butter
28,Female,170,70,Very Active,Muscle Gain,Vegan,2500,175,350,80,Tofu and vegetable stir-fry with brown rice,Black bean burger on whole-wheat bun,Lentil and vegetable curry,Protein smoothie with fruit
40,Male,190,110,Moderately Active,Weight Loss,Omnivore,2200,160,280,70,Greek yogurt with granola and berries,Chicken breast with roasted vegetables and quinoa,Turkey meatballs with spaghetti squash,Trail mix with nuts and seeds
62,Female,160,55,Sedentary,Maintenance,Vegan,1500,80,180,40,Tofu scramble with vegetables,Vegetable soup with whole-wheat bread,Lentil and vegetable curry,Fruit salad with nuts
22,Male,185,95,Very Active,Muscle Gain,Omnivore,3000,200,400,100,Oatmeal with protein powder,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein bar
38,Female,168,65,Lightly Active,Weight Loss,Vegan,1600,100,200,50,Tofu scramble with vegetables,Black bean burger on whole-wheat bun,Vegetable stir-fry with brown rice,Fruit with almonds
27,Female,172,75,Moderately Active,Maintenance,Vegetarian,2000,120,250,60,Scrambled eggs with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable curry with brown rice,Trail mix with nuts and seeds
45,Male,180,100,Very Active,Weight Loss,Omnivore,2400,180,300,80,Greek yogurt with fruit and granola,Chicken breast with roasted vegetables and quinoa,Salmon with asparagus and sweet potato,Protein shake with fruit
32,Female,165,65,Lightly Active,Maintenance,Vegetarian,1800,80,200,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Apple slices with almond butter
55,Male,175,90,Sedentary,Weight Loss,Omnivore,1800,100,200,50,Whole-wheat toast with egg and avocado,Chicken and vegetable stir-fry,Baked chicken with sweet potato and green beans,Trail mix
28,Female,170,70,Very Active,Muscle Gain,Vegan,2500,150,300,70,Tofu scramble with spinach and mushrooms,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice and vegetables,Banana with peanut butter
48,Female,160,60,Sedentary,Maintenance,Vegan,1600,70,180,40,Overnight oats with fruit and nuts,Lentil soup with whole-wheat bread,Vegetable stir-fry with tofu,Apple slices with almond butter
62,Male,170,85,Lightly Active,Weight Loss,Omnivore,1800,100,200,50,Greek yogurt with fruit and granola,Tuna salad sandwich on whole-wheat bread,Grilled chicken with roasted vegetables,Popcorn with a sprinkle of parmesan cheese
22,Female,168,55,Moderately Active,Muscle Gain,Vegetarian,2200,120,250,60,Quinoa breakfast bowl with berries and nuts,Chickpea and vegetable stew,Bean and vegetable burrito,Trail mix with dried fruit and nuts
38,Male,185,100,Very Active,Muscle Gain,Omnivore,3000,180,350,80,Oatmeal with protein powder and fruit,Chicken and vegetable stir-fry with brown rice,Steak with sweet potato and asparagus,Trail mix with dried fruit and nuts
21,Female,158,50,Moderately Active,Weight Loss,Vegan,1800,80,200,50,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice and vegetables,Banana with peanut butter
58,Female,163,75,Sedentary,Maintenance,Vegetarian,1600,70,180,40,Overnight oats with fruit and nuts,Lentil soup with whole-wheat bread,Vegetable stir-fry with tofu,Apple slices with almond butter
25,Female,165,58,Lightly Active,Weight Loss,Omnivore,1800,80,250,60,Oatmeal with berries and nuts,Tuna salad sandwich on whole-wheat bread with a side salad,Salmon with roasted vegetables and quinoa,Greek yogurt with fruit and granola
38,Male,180,85,Moderately Active,Muscle Gain,Omnivore,2800,150,350,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Lentil stew with whole-wheat bread,Protein shake with fruit 
62,Female,160,65,Sedentary,Weight Loss,Vegetarian,1500,70,200,40,Tofu scramble with whole-wheat toast and avocado,Lentil soup with a side salad,Vegetarian chili with brown rice,Fruit and yogurt 
28,Male,185,90,Very Active,Muscle Gain,Vegan,3200,180,400,80,Tofu scramble with whole-wheat toast and avocado,Lentil stew with whole-wheat bread,Bean burgers with sweet potato fries,Protein shake with fruit and nuts
45,Female,170,70,Lightly Active,Weight Loss,Vegan,1700,75,220,50,Oatmeal with fruit and nuts,Black bean burgers on whole-wheat buns with a side salad,Lentil soup with whole-wheat bread,Fruit and nut mix
58,Male,175,80,Sedentary,Maintenance,Omnivore,2200,100,280,60,Eggs with whole-wheat toast and bacon,Chicken salad sandwich on whole-wheat bread with a side salad,Chicken stir-fry with brown rice,Greek yogurt with fruit
32,Female,168,62,Moderately Active,Muscle Gain,Vegetarian,2400,120,300,70,Tofu scramble with whole-wheat toast and avocado,Chickpea salad sandwich on whole-wheat bread with a side salad,Black bean burgers with brown rice and roasted vegetables,Protein shake with fruit and nuts 
70,Male,170,75,Lightly Active,Weight Loss,Vegan,1600,70,210,40,Tofu scramble with whole-wheat toast and avocado,Lentil soup with a side salad,Vegetarian chili with brown rice,Fruit and yogurt 
19,Female,163,55,Very Active,Muscle Gain,Omnivore,2600,140,320,70,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables and quinoa,Protein shake with fruit 
55,Male,183,95,Sedentary,Maintenance,Vegetarian,2000,90,250,50,Scrambled eggs with whole-wheat toast and avocado,Lentil soup with a side salad,Vegetarian chili with brown rice,Fruit and nuts
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,Oatmeal with berries and nuts,Chicken salad with whole-wheat bread,Grilled salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1600,80,180,50,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Apple slices with almond butter
55,Male,175,95,Sedentary,Maintenance,Vegan,2200,100,300,70,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
68,Female,160,70,Lightly Active,Weight Loss,Omnivore,1400,70,150,40,Yogurt with fruit and granola,Tuna salad with whole-wheat bread,Chicken breast with steamed vegetables,Apple slices with peanut butter
28,Male,185,90,Very Active,Muscle Gain,Omnivore,3000,180,400,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake with fruit
38,Female,170,75,Moderately Active,Maintenance,Vegan,1800,80,220,60,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
58,Male,170,85,Sedentary,Maintenance,Omnivore,2000,80,250,60,Oatmeal with fruit and nuts,Turkey sandwich with whole-wheat bread,Grilled chicken with roasted vegetables,Greek yogurt with fruit
42,Female,168,60,Very Active,Muscle Gain,Vegetarian,2200,100,300,70,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with quinoa,Apple slices with almond butter
21,Male,190,100,Moderately Active,Muscle Gain,Vegan,2800,140,350,90,Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
62,Female,155,55,Sedentary,Weight Loss,Vegan,1200,60,120,30,Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Apple slices with almond butter
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,Greek yogurt with berries and granola,Chicken salad sandwich on whole-wheat bread with a side of fruit,Salmon with roasted vegetables,Apple slices with peanut butter
32,Female,165,65,Sedentary,Weight Loss,Vegetarian,1600,80,200,40,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with a side of whole-wheat bread,Vegetarian chili with brown rice,Mixed nuts and dried fruit
58,Male,175,95,Lightly Active,Maintenance,Vegan,2200,100,300,65,Tofu and vegetable stir-fry,Black bean burger on a whole-wheat bun with a side salad,Lentil and vegetable curry with brown rice,Popcorn with nutritional yeast
40,Female,170,72,Moderately Active,Muscle Gain,Omnivore,2500,150,350,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Turkey chili with whole-wheat bread,Greek yogurt with protein powder
28,Male,185,90,Very Active,Muscle Gain,Vegan,3000,180,400,90,Tofu and vegetable stir-fry with quinoa,Black bean burgers with sweet potato fries,Lentil loaf with roasted vegetables,Protein smoothie with banana and spinach
62,Female,160,60,Sedentary,Maintenance,Omnivore,1800,80,220,50,Eggs with whole-wheat toast and fruit,Tuna salad sandwich on whole-wheat bread with a side of fruit,Chicken stir-fry with brown rice,Trail mix
35,Male,190,100,Very Active,Weight Loss,Vegetarian,2400,140,300,70,Quinoa porridge with berries,Chickpea salad sandwich on whole-wheat bread with a side of fruit,Vegetarian lasagna with a side salad,Hummus and veggie wraps
22,Female,168,55,Lightly Active,Weight Loss,Vegan,1500,70,180,40,Tofu and vegetable scramble with whole-wheat toast,Lentil stew with brown rice,Vegan pasta with marinara sauce and vegetables,Fruit salad
55,Male,178,85,Sedentary,Maintenance,Omnivore,2000,100,250,60,Greek yogurt with granola and fruit,Tuna salad sandwich on whole-wheat bread with a side salad,Chicken and vegetable stir-fry with brown rice,Trail mix
48,Female,172,78,Moderately Active,Weight Loss,Vegan,1800,90,220,50,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Tofu and vegetable stir-fry with brown rice,Popcorn with nutritional yeast
25,Male,180,85,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter
38,Female,165,68,Lightly Active,Maintenance,Vegetarian,1800,80,200,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
55,Male,175,95,Sedentary,Weight Loss,Vegan,1800,80,200,50,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
62,Female,160,70,Lightly Active,Weight Loss,Vegan,1500,70,175,40,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
28,Male,190,90,Very Active,Muscle Gain,Omnivore,3000,160,350,80,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar
40,Female,170,75,Moderately Active,Muscle Gain,Vegetarian,2200,100,250,60,Tofu scramble with vegetables and whole wheat toast,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Mixed nuts and dried fruit
58,Male,170,80,Sedentary,Weight Loss,Vegan,1600,70,180,40,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
65,Female,155,65,Lightly Active,Maintenance,Omnivore,1500,60,175,40,Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables,Apple with almond butter
32,Male,185,100,Very Active,Muscle Gain,Omnivore,3200,180,380,90,Scrambled eggs with whole wheat toast and avocado,Chicken breast with quinoa and vegetables,Steak with sweet potato and broccoli,Protein bar
45,Female,168,72,Moderately Active,Weight Loss,Vegan,1700,70,190,45,Overnight oats with chia seeds and fruit,Black bean burger on a whole wheat bun with salad,Lentil stew with brown rice,Fruit and vegetable salad
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,140,250,70,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
32,Female,165,65,Sedentary,Muscle Gain,Vegetarian,2000,120,200,60,Tofu scramble with vegetables,Lentil soup with whole-grain bread,Chickpea pasta with tomato sauce,Trail mix
